Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,44.5,50.2,82,70.6,74,90.5,96.7,121.1,132,78.5,97.3,119.2
1999,86,98,103.5,93.6,149.6,207.2,173.5,142.3,106.3,168.7,188.3,116.8
2000,133.1,165.7,217.7,191.5,165.9,188,244.3,180.5,156,141.6,158.1,143.3
2001,142.6,121.5,165.8,161.7,142.1,202.9,123,161.5,238.2,194.1,176.6,213.4
2002,184.6,170.2,147.1,186.9,187.5,128.8,161,175.6,187.9,151.2,147.2,135.3
2003,133.5,75.7,100.7,97.9,86.8,118.7,128.3,115.4,78.5,97.8,82.9,72.2
2004,60.6,74.6,74.8,59.2,72.8,66.5,83.8,69.7,48.8,74.2,70.1,28.9
2005,48.1,43.5,39.6,38.7,61.9,56.8,62.4,60.5,37.2,13.2,27.5,59.3
2006,20.9,5.7,17.3,50.3,37.2,24.5,22.2,20.8,23.7,14.9,35.7,22.3
2007,29.3,18.4,7.2,5.4,19.5,21.3,15.1,9.8,4,1.5,2.8,17.3
2008,4.1,2.9,15.5,3.6,4.6,5.2,0.6,0.3,1.2,4.2,6.6,1
2009,1.3,1.2,0.6,1.2,2.9,6.3,5.5,0,7.1,7.7,6.9,16.3
2010,19.5,28.5,24,10.4,13.9,18.8,25.2,29.6,36.4,33.6,34.4,24.5
2011,27.3,48.3,78.6,76.1,58.2,56.1,64.5,65.8,120.1,125.7,139.1,109.3
2012,94.4,47.8,86.6,85.9,96.5,92,100.1,94.8,93.7,76.5,87.6,56.8
2013,96.1,60.9,78.3,107.3,120.2,76.7,86.2,91.8,54.5,114.4,113.9,124.2
2014,117,146.1,128.7,112.5,112.5,102.9,100.2,106.9,130,90,103.6,112.9
2015,93,66.7,54.5,75.3,88.8,66.5,65.8,64.4,78.6,63.6,62.2,58
2016,57,56.4,54.1,37.9,51.5,20.5,32.4,50.2,44.6,33.6,21.4,18.9
